date,time,account,text
2024-10-08,11:13:55,味噌ラーメン@yuta_mgtorg2024,「分業関係＝誰だってできる」 の状況において、「私じゃないといけない！」を出すの難しいな。たしかにやる気につながらない。#mgtorg2024
2024-10-08,11:14:27,ペパーミント@If8Rywjdt,分業、単純化された作業だけをやりつづけて、「自分は仕事ができるわ」と勘違いしてしまっているといつまで経っても成長できないんだろうなぁ…#mgtorg2024
2024-10-08,11:15:19,味噌ラーメン@yuta_mgtorg2024,マニュアルワークになるからこそ、仕事を軽視してミスにつながる気もするな#mgtorg2024
2024-10-08,11:16:00,うちだ@uchi_da0808,#mgtorg2024近年求められてる高度さ&クリエイティビティが求められる仕事と生産性重視の組織管理は相性悪い？
2024-10-08,11:16:15,味噌ラーメン@yuta_mgtorg2024,"マニュアルワークだったとしても、それを行うのは一人の人間であることは前提に置かないといけないのでは？
ミスる、サボる…みたいな#mgtorg2024"
2024-10-08,11:17:16,Metallica@dsmpG44yCS3083,#mgtorg2024この組織のリーダーやりたくねぇな。1人だけ労働量おかしいよな。
2024-10-08,11:17:43,ぽぽ@XcClFOZXcL85543,"確かにグループワークしてると「モヤモヤするけど、言ったら面倒くさいって思われる…？？」と考えて言えないことがある
大きな事態になる前に言えるようにならないとなぁ…#mgtorg2024"
2024-10-08,11:17:51,ペパーミント@If8Rywjdt,権限が統制されすぎるのも良くない？？#mgtorg2024
2024-10-08,11:18:10,プリン@DFJCjy4gHbruyGo,"組織として、ミスをした時のためのことも考えておく
聞いた人によって言うことが違くて困るってことが少なくなるよね#mgtorg2024"
2024-10-08,11:19:17,まる@oDApfas7DPvsAp3,"バイトしてる塾は、権限統制曖昧のかも。
誰の指示に従うかは決まってるけど、責任は、、、
ミスの話じゃないかもだけど、塾辞めたいって思ってる子に退塾届け渡すのバイトの友達がやらされてた。
これってめちゃくちゃ責任あるものだし、バイトがやることでない気がしてた、、、#mgtorg2024"
2024-10-08,11:19:28,味噌ラーメン@yuta_mgtorg2024,"官僚型組織
…せっかくの文書主義のはずが、黒塗りだったり隠蔽されたり、滅茶滅茶だな。笑#mgtorg2024"
2024-10-08,11:19:47,あもーれ@1sfzWkHIGu6XdGs,『シン・ゴジラ』なんかも未曾有の危機に対する官僚制組織の動きの遅さが丁寧に描写されていたなぁ。#mgtorg2024
2024-10-08,11:19:52,ペパーミント@If8Rywjdt,官僚型組織って言葉。「官僚」って言葉に嫌なイメージがついてきたのも最近だよね、、#mgtorg2024
2024-10-08,11:19:54,竹@hundred_bamboo,文書主義大事だなとひしひしと感じる。全員忘れっぽい我が家、いつも言った言ってないでずーーーーっと揉めてるから文書主義取り入れたいけどめんどくさがり集団でもあるので最近は決定事項、大事な話をLINEに残すようになった笑笑#mgtorg2024
2024-10-08,11:20:18,Metallica@dsmpG44yCS3083,#mgtorg2024ミスが少なく変化もない時代なら生産性をあげれる官僚制はめっちゃ強い気がする。
2024-10-08,11:20:37,さとう@i029460965472,"事件は会議室で起きてるんじゃない
現場で起きてるんだ#mgtorg2024"
2024-10-08,11:20:43,味噌ラーメン@yuta_mgtorg2024,"踊る大捜査線！母の影響で見てた。
織田裕二かっこいい！笑#mgtorg2024"
2024-10-08,11:21:07,まめきち@mamekiti_hamham,"踊る大捜査戦聞いたことある。
見てみたいな#mgtorg2024"
2024-10-08,11:21:20,ボウルサラダボウル@SiTiMiY4_ch,"#mgtorg2024踊る大捜査線は、ガチガチに官僚制だった
権限関係とかが印象に残ってる

公務員で官僚制じゃないことあるのかな？"
2024-10-08,11:22:01,うちだ@uchi_da0808,#mgtorg2024日本の会社って官僚型組織ばかりな気がするけど、生産性重視の産業が強い時代の名残なのかな？
2024-10-08,11:22:07,土方@ryunen_shimamu,確かに昔の方が刑事ものドラマ多かったな#mgtorg2024
2024-10-08,11:22:34,あもーれ@1sfzWkHIGu6XdGs,基本的に組織が大規模になればなるほど、できることは大きくなるし、影響力も大きくなる。より大きく、を目指し、それを円滑に動かそうとするのは当然の帰結ではあるよね。#mgtorg2024
2024-10-08,11:23:08,Metallica@dsmpG44yCS3083,消費者のニーズが増えすぎたせいで、とりあえず大量に作っとけばいいやのやり方は通用しなくなってるのかも。#mgtorg2024
2024-10-08,11:23:10,味噌ラーメン@yuta_mgtorg2024,品質と効率だけのことではないけど、トレードオフの関係って本当に難しい。#mgtorg2024
2024-10-08,11:23:16,ペパーミント@If8Rywjdt,「白い巨塔」とかも官僚制描かれてるよね#mgtorg2024
2024-10-08,11:23:37,うちだ@uchi_da0808,#mgtorg2024結局コモディティ化の話に繋がってくる訳かあ
2024-10-08,11:23:38,プリン@DFJCjy4gHbruyGo,ミスしないことを目指すと、クオリティが下がってくる。そう思うと分業よりひとりの人が集中した方がクオリティが上がるのではないのか。#mgtorg2024
2024-10-08,11:24:38,まる@oDApfas7DPvsAp3,分業だけになると、お互いが何やっているのか、何を考えて行動してるのか全然分からないから、分業化でみんなでいいものを作るって難しいよね。#mgtorg2024
2024-10-08,11:25:25,Metallica@dsmpG44yCS3083,#mgtorg2024変化に対応しないといけないけど、でもいつ変化すればいいのかは誰にもわからないからそのタイミングが難しいよな。
2024-10-08,11:25:29,インドアなアウトドア派@indoornaoutdoor,少品種大量生産から多品種少量生産への移行で、機械的な作業の幅が広がったことから品質が落ちてしまったことも原因にあるかも...#mgtorg2024
2024-10-08,11:25:46,まる@oDApfas7DPvsAp3,"でもやることが多くて、人も多かったら、分業しなかったら全然やること進まないし、分業化も大事になってくる！
絶対このバランス難しい、、、#mgtorg2024"
2024-10-08,11:26:21,ケーキ@FTnofEyXI030604,分業の配分って難しい。任せすぎても任せなすぎても捉え方次第で自信無くしちゃったり責めらてるって思われる可能性がある#mgtorg2024
2024-10-08,11:26:28,しずの@ofRKrrWtqa87140,"この間読んだ本で、日本社会で量的充足から質的充足が求められるようになっていく変遷を書いたのがあったな
色んなものがコモディティ化してきたし、売ったら売れるって時代じゃねんだなぁ#mgtorg2024"
2024-10-08,11:26:34,うちだ@uchi_da0808,#mgtorg2024リーダーとして求められる判断力がますます上がってきてる訳か、恐ろしい・・・
2024-10-08,11:26:34,プリン@DFJCjy4gHbruyGo,確かにバイトで人に頼むよりも、自分でやった方が早いから一人でやっちゃうこと多いや、、口で伝えるより行動するのを優先してしまう#mgtorg2024
2024-10-08,11:27:18,味噌ラーメン@yuta_mgtorg2024,"マニュアルワークで実現できる慎重さ
スピーディーな対応のためには、 両立はできない#mgtorg2024"
2024-10-08,11:27:42,味噌ラーメン@yuta_mgtorg2024,"多少のミスを許容できるか？
許容の範囲も違うし、多少のニュアンスも違うよなぁ…#mgtorg2024"
2024-10-08,11:27:56,さとう@i029460965472,早さは魅力的だけどリスクも大きい#mgtorg2024
2024-10-08,11:28:58,こんぺい@yu813508346040,"リーダー役の人も、自分がどれだけ忙しくても全てを把握してないと気が済まない人がいる
どこまで信頼できるか、信頼してもらえるか難しい#mgtorg2024"
2024-10-08,11:29:12,味噌ラーメン@yuta_mgtorg2024,"提供スピード爆速でもマズイ牛丼屋に行きたいとは思わないな。笑
妥協点を見つけられるか、がカギ？#mgtorg2024"
2024-10-08,11:29:18,ペパーミント@If8Rywjdt,意思決定のスピードと即興性。#mgtorg2024
2024-10-08,11:29:23,あもーれ@1sfzWkHIGu6XdGs,ミスがないこと（完璧性）とスピードが速いこと（迅速性）のトレードオフ。とはいえ、二元論に陥るのではなく、いい塩梅を探していかないといけない。#mgtorg2024
2024-10-08,11:29:46,まめきち@mamekiti_hamham,"挑戦できる環境ありますっていう会社増えてきてるイメージ。
それに魅力を感じる学生は私も含めて結構いる気がする#mgtorg2024"
2024-10-08,11:30:00,Metallica@dsmpG44yCS3083,#mgtorg2024スピードと品質をバイトに求めるのは結構酷な気がするな…
2024-10-08,11:30:16,まる@oDApfas7DPvsAp3,"どれだけスピードを求めるのか、どれくらいのミスを許容するのか、
基準も、これが正しいってのもないから、誰かが判断しなければいけない。#mgtorg2024"
2024-10-08,11:31:30,味噌ラーメン@yuta_mgtorg2024,安定的＝人材が代替可能？#mgtorg2024
2024-10-08,11:31:57,うちだ@uchi_da0808,#mgtorg2024話聞いてるとバイトで培った経験は自分が思う以上に今後の役に立つ気がしてきた。やっぱりリーダーシップを身に付けるには経験あるのみ！
2024-10-08,11:32:17,Metallica@dsmpG44yCS3083,#mgtorg2024有機的な組織の方が良さそうだけどそんな優秀な人材滅多に居ないよな…
2024-10-08,11:32:20,ボウルサラダボウル@SiTiMiY4_ch,"#mgtorg2024某回転寿司チェーンアルバイトにて…
一生困ったのはキッチンが間違えた作ったのを、ホールが客に呼び出されるんだけども、次はキッチンが注文履歴から作るんじゃなくて、ホールで聞いてこいってスタイルなのが困った🥺

匙加減的に、キッチンはミスっても早く出すを優先してるのか？"
2024-10-08,11:32:34,プリン@DFJCjy4gHbruyGo,人材の依存度が高い有機的組織はなかなかリスク高そう、？#mgtorg2024
2024-10-08,11:33:26,さとう@i029460965472,マニュアルは「選択」の負担を軽減してくれる#mgtorg2024
2024-10-08,11:33:31,味噌ラーメン@yuta_mgtorg2024,"塩梅を決める・選択をする
…いろいろな状況を「知る」ことから始めないといけないよな。知らないことは選べない#mgtorg2024"
2024-10-08,11:33:49,竹@hundred_bamboo,臨機応変、判断力がリーダーの必携能力になっていくのか…うーん…苦手だ…#mgtorg2024
2024-10-08,11:33:54,土方@ryunen_shimamu,"機械的な組織作る方が楽そうだけど優秀な人は集まらなくなりそう
それとも機械的組織だから優秀な人いらねえのか？#mgtorg2024"
2024-10-08,11:34:41,ペパーミント@If8Rywjdt,"絶対の勝利の方程式はないか…
企業の成功例、成功者ばかりを追っていると見えなくなるものがあるのかも。やはり実践あるのみだなぁ#mgtorg2024"
2024-10-08,11:35:00,まめきち@mamekiti_hamham,いろんなやり方で受験的にやってみる、試行錯誤をしていかないといい塩梅わかんかいよなぁ#mgtorg2024
2024-10-08,11:35:47,Metallica@dsmpG44yCS3083,#mgtorg2024日本がダメになったのではなく、環境が変わって対応が追いついてないのが現代なのか。
2024-10-08,11:35:53,こんぺい@yu813508346040,"例外が増えてきた？
トラブルが増えてきた？
社会が複雑化したから？#mgtorg2024"
2024-10-08,11:37:08,Metallica@dsmpG44yCS3083,#mgtorg2024現代は多様な価値観があるから一つのものを安定的に生み出したところであんま利益は出せなくなってるのかも。
2024-10-08,11:37:19,インドアなアウトドア派@indoornaoutdoor,現代はVUCAと言われているらしい#mgtorg2024
2024-10-08,11:37:41,味噌ラーメン@yuta_mgtorg2024,"一人一人が考えられる組織でないといけない
→超優秀な人が一人いてどうにかならなくなった？#mgtorg2024"
2024-10-08,11:38:25,noir@hoseinoir,"#mgtorg2024バイト先ではまず聞きなさいが原則だなあ
まあバイトだからなのかもだけどスタンドプレーするなって"
