"date","time","account","text"
"2024-11-05","09:23:58","長岡 健@TakeruNagaoka","経営組織論（第７回）「ゲスト講義②」#mgtorg2024おはようございます。いい天気です。学祭も終わり、今日から気分一新。朝ごはんをおえてのんびりムードの猫たちを横目に、私は元気に市ヶ谷に向かいます。

さあ11月も楽しく学ぼう！pic.x.com/thIggY0aYr"
"2024-11-05","10:21:09","ボウルサラダボウル@SiTiMiY4_ch","#mgtorg2024電車の遅延２コはまずい😱"
"2024-11-05","10:29:53","ひの@hosei_univ_3","東海道線が止まって授業に参加できそうにない…どこかカフェにでも入れれば…#mgtorg2024"
"2024-11-05","10:39:55","てでぃ@yuan_nai44435","おはようございます〜〜！本日は2回目のゲスト講義ということで楽しみにしております！#mgtorg2024"
"2024-11-05","10:41:19","シカ@shika_deshika","おはようございます#mgtorg2024"
"2024-11-05","10:43:16","ケーキ@FTnofEyXI030604","ゲスト講義楽しみ！#mgtorg2024"
"2024-11-05","10:43:35","けいたつ I 世界に名が轟く会社をつくる@_kk_marumaru","今日はオンラインから！よろしくお願いいたします！#mgtorg2024"
"2024-11-05","10:43:42","まる@oDApfas7DPvsAp3","おはようございます☀️
11月に突入！！#mgtorg2024"
"2024-11-05","10:43:45","Metallica@dsmpG44yCS3083","#mgtorg2024毎日が学祭だったらいいのに"
"2024-11-05","10:43:46","うちだ@uchi_da0808","#mgtorg2024復帰！"
"2024-11-05","10:43:47","miyabi012@kohsay8","#mgtorg2024今日もよろしくお願いします！！！"
"2024-11-05","10:44:07","わかば@wakaba_888y","前回の授業、YouTubeで見返すくらい面白かった。
でも、せめてインターンとか会社に関わったことある学生でないと共感できなさそう。#mgtorg2024"
"2024-11-05","10:44:16","竹@hundred_bamboo","おはようございます！
大阪にいた頃は月一で猫カフェ巡りをしていたのですが、引っ越しに伴いバイトを辞め、新たなバイトを見つけられず、貯金が底をつきそうなのでしばらく行けていないため、猫不足です…ね、猫をくれ…🐈🐈

↓引っ越し直前に行った梅田の猫カフェの猫ちゃん#mgtorg2024pic.x.com/dPIvgTAhIy"
"2024-11-05","10:45:23","プリン@DFJCjy4gHbruyGo","おはようございます🔆
夜ご飯の残りを食べながら、、🤭#mgtorg2024pic.x.com/bgkvbwAvCG"
"2024-11-05","10:46:18","801h@_801h","おはようございます。
愛用していたイヤホンの調子が悪くなって泣く泣くサポートセンターに出した今日この頃です・・・
とはいえそれはそれ、これはこれなのでしっかりツイートをしていこうと思います。#mgtorg2024"
"2024-11-05","10:46:46","味噌ラーメン@yuta_mgtorg2024","今日はオンライン💻
Zoomのアップデートを求められたけど、見たことない表示が出てどうにもできず、ブラウザから参加…なんだこれ#mgtorg2024"
"2024-11-05","10:47:05","まくら@VgWypJXORi39073","今日は久しぶりのオンラインからの参加です！#mgtorg2024"
"2024-11-05","10:47:20","竹@hundred_bamboo","授業が始まったら静かになるのが法政に来て1番の驚きでした…#mgtorg2024"
"2024-11-05","10:47:47","harunchu@hamunin331","対面新鮮#mgtorg2024"
"2024-11-05","10:48:34","こんぺい@yu813508346040","おはようございます！☀️
三連休は長野の自然でリフレッシュしたので切り替えっ！🌳#mgtorg2024"
"2024-11-05","10:50:14","上腕三頭筋@jo13tokin","おはようございます🌞！#mgtorg2024"
"2024-11-05","10:50:20","ペパーミント@If8Rywjdt","おはよう☀今週のうちのわんこ。トリミングされた後にリボンつけられて、不服そうでした#mgtorg2024pic.x.com/zWDycrhfMZ"
"2024-11-05","10:50:33","ぽぽ@XcClFOZXcL85543","おはようございます！
学祭の出し物が上手くいって嬉しかった#mgtorg2024"
"2024-11-05","10:51:07","土方@ryunen_shimamu","とりあえずツイートしておくか#mgtorg2024"
"2024-11-05","10:51:19","しずの@ofRKrrWtqa87140","学祭から心機一転で頑張りまっかぁ#mgtorg2024"
"2024-11-05","10:51:34","noir@hoseinoir","#mgtorg2024学祭後っていう休み癖がついてる日だけどツイートが習慣になってるおかげで休めない"
"2024-11-05","10:52:30","まめきち@mamekiti_hamham","おはようございますー！
昨日は中央大学の学祭に行ってきました
初学祭楽しかった😳#mgtorg2024#G&N"
"2024-11-05","10:53:30","さとう@i029460965472","朝は寒かったから着込んできたけど駅から教室に向かう間に汗かいた#mgtorg2024"
"2024-11-05","10:54:07","ボウルサラダボウル@SiTiMiY4_ch","#mgtorg2024履歴書の考え方の部分で、この授業で気づいた事を取り込みました

あと学祭毎年行ってたけど、今年は就活被っていかなかった(すやぁ)"
"2024-11-05","10:54:31","やや@afvvfxcgrec","#mgtorg2024三連休明けだから気持ちがまだお休み気分だけど切り替えて頑張りたい"
"2024-11-05","10:55:42","けいたつ I 世界に名が轟く会社をつくる@_kk_marumaru","今回のゲストの倉貫さんの会社のHP！これはSaaS？なのかな、「納品のない受託開発」は逆説的で面白いサービスだなと思いました！sonicgarden.jp#mgtorg2024"
"2024-11-05","10:55:53","harunchu@hamunin331","学祭今年行けてないな#mgtorg2024"
