date,time,account,text
2024-09-24,10:02:09,長岡 健@TakeruNagaoka,"経営組織論（第１回）「オリエンテーション」#mgtorg2024おはようございます。秋🍂っぽい気候になりました。朝のランニングもいい気分です。

今日から秋学期の「経営組織論」が始まります。いつも通り、猫たちの朝ごはんを準備して、オンライン授業に向かいます。

さあ秋学期も楽しく学ぼう！pic.x.com/hwsj7z3ymi"
2024-09-24,10:24:26,Shun@Shun71840957,今日の授業はインターンがこれからなのでオンラインで見るしかない😢#mgtorg2024
2024-09-24,10:40:26,まる@oDApfas7DPvsAp3,"おはようございます☀️
秋学期も頑張ります！！#mgtorg2024"
2024-09-24,10:41:27,竹@hundred_bamboo,"交換留学で秋学期からお世話になります🙇🏻‍♀️関西大学の商学部から来ました！ 
このような授業初めてなのでドキドキです！#mgtorg2024"
2024-09-24,10:42:30,ペパーミント@If8Rywjdt,"おはよう〜✨🎶
最高の気温！！！
そして、食後のうちのワンコ。#mgtorg2024pic.x.com/gmfwsvebmc"
2024-09-24,10:42:45,しずの@ofRKrrWtqa87140,"おはようございますです〜
秋学期も頑張っていきたいですねぇ#mgtorg2024"
2024-09-24,10:42:52,あもーれ@1sfzWkHIGu6XdGs,にわかに秋っぽくなってきたね。秋からも授業がんばろう！#mgtorg2024
2024-09-24,10:44:40,こんぺい@yu813508346040,季節の変わり目はいつも体調崩しやすいですが、睡眠多めにとって体調管理がんばります！#mgtorg2024
2024-09-24,10:46:08,ぽぽ@XcClFOZXcL85543,春学期に引き続き秋学期も楽しみです！😊#mgtorg2024
2024-09-24,10:46:11,あもーれ@1sfzWkHIGu6XdGs,長らく大内山の教室でこの授業手伝ってたから、自分の部屋で受けるのなんか新鮮だなぁ。#mgtorg2024
2024-09-24,10:46:58,プリン@DFJCjy4gHbruyGo,経営組織論秋学期始まり～🍁🍂#mgtorg2024
2024-09-24,10:50:19,こんぺい@yu813508346040,"秋の快晴とてもすき！
↓↓昨日の鎌倉#mgtorg2024pic.x.com/oiz9uagcif"
2024-09-24,10:51:11,Metallica@dsmpG44yCS3083,#mgtorg2024ついに秋学期も始まってしまったか…今期も頑張らなければ。
2024-09-24,10:52:19,まめきち@mamekiti_hamham,"おはようございますー！
もう9月、もう秋学期…！
今日は涼しいのでエアコン消して窓開けてお家から参加です！！#mgtorg2024"
2024-09-24,10:55:25,てでぃ@yuan_nai44435,"一年で一番好きな季節、秋突入！
美味しい食材がたくさんで過ごしやすい気候で幸せいっぱいです！＃mgtorg2024"
2024-09-24,10:56:30,ボウルサラダボウル@SiTiMiY4_ch,"#mgtorg2024クリエイティヴに関わらず
未来のことを見通す意識持つのは、普通に大事だな。

某ゲームでは投票で、過去・現在・未来で、未来がダントツビリだったけど😭"
2024-09-24,10:56:40,あもーれ@1sfzWkHIGu6XdGs,重要なことは意外と緊急じゃないし、緊急なことは意外と重要じゃない。大切にしたいことがあるなら、焦らず、じっくりやることがいいのかもしれない。#mgtorg2024
2024-09-24,10:58:52,まる@oDApfas7DPvsAp3,ヒカリエ#mgtorg2024pic.x.com/lah86corvl
2024-09-24,10:59:15,こんぺい@yu813508346040,次回カフェゼミ10月24日(木)の予定です！#mgtorg2024
2024-09-24,11:00:02,ペパーミント@If8Rywjdt,linkfly.to/cafesemiorradio#mgtorg2024
